"Início dos relatórios","Término dos relatórios","Nome do anúncio","Veiculação do anúncio",Impressões,"CPM (custo por 1.000 impressões) (BRL)",Alcance,Frequência,"Valor usado (BRL)","Cliques no link","CTR (taxa de cliques no link)","CPC (custo por clique no link) (BRL)",ThruPlays,"Reproduções do vídeo por no mínimo 3 segundos","Classificação de qualidade","Classificação da taxa de engajamento",custom_derived_metrics:3885591754908253,custom_derived_metrics:3885592338241528,custom_derived_metrics:3885592788241483
2026-04-05,2026-04-05,AWARE_ColdInterest_Carousel_Apr26,active,2460,0.658537,2394,1.027569,1.62,2,0.081301,0.81,28,244,–,–,1.62,0.07142857,0.5
2026-04-05,2026-04-05,AWARE_Lookalike_Carousel_Apr26,active,365,0.164384,356,1.025281,0.06,,,,11,124,–,–,,0,
