"Início dos relatórios","Término dos relatórios","Nome da campanha",Impressões,"CPM (custo por 1.000 impressões) (BRL)",Alcance,Frequência,"Valor usado (BRL)","Cliques no link","CTR (taxa de cliques no link)","CPC (custo por clique no link) (BRL)",ThruPlays,"Reproduções do vídeo por no mínimo 3 segundos",custom_derived_metrics:3885591754908253,custom_derived_metrics:3885592338241528,custom_derived_metrics:3885592788241483
2026-04-02,2026-04-04,AWARE_Sitio_Girassol_Apr26,21081,0.559746,20564,1.025141,11.8,10,0.047436,1.18,206,3465,1.96666667,0.04854369,0.6

"Início dos relatórios","Término dos relatórios","Nome da campanha",Impressões,"CPM (custo por 1.000 impressões) (BRL)",Alcance,Frequência,"Valor usado (BRL)","Cliques no link","CTR (taxa de cliques no link)","CPC (custo por clique no link) (BRL)",ThruPlays,"Reproduções do vídeo por no mínimo 3 segundos",custom_derived_metrics:3885591754908253,custom_derived_metrics:3885592338241528,custom_derived_metrics:3885592788241483
2026-04-02,2026-04-04,AWARE_Sitio_Girassol_Apr26,21081,0.559746,20564,1.025141,11.8,10,0.047436,1.18,206,3465,1.96666667,0.04854369,0.6
